scenario_id,priority_rank,priority_category,scenario_family,vessel_speed,ice_conc,iceberg_dist_m,route_blocked,visibility_nm,baseline_action,reviewer_id,review_status,selected_action,rationale
POLARIS_SCENARIO_0028,2,HIGH_RISK,HEAVY_ICE_POOR_VISIBILITY,16.6,0.82,4332.0,False,0.2,hold_position,,UNREVIEWED,,
POLARIS_SCENARIO_0032,2,HIGH_RISK,ESCORT_UNAVAILABLE,17.5,0.86,4832.0,False,6.7,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0035,2,HIGH_RISK,MULTIPLE_HAZARDS,14.9,0.66,450.0,False,1.0,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0036,2,HIGH_RISK,CONFLICTING_AMBIGUOUS,13.8,0.75,299.0,False,0.8,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0037,2,HIGH_RISK,LOW_CONFIDENCE,16.3,0.74,471.0,False,0.8,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0046,2,HIGH_RISK,BLOCKED_ROUTE,14.5,0.12,186.0,True,5.9,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0048,2,HIGH_RISK,HEAVY_ICE_POOR_VISIBILITY,14.8,0.78,4119.0,False,0.5,hold_position,,UNREVIEWED,,
POLARIS_SCENARIO_0052,2,HIGH_RISK,ESCORT_UNAVAILABLE,16.9,0.81,4955.0,False,8.7,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0055,2,HIGH_RISK,MULTIPLE_HAZARDS,16.1,0.69,386.0,False,0.6,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0056,2,HIGH_RISK,CONFLICTING_AMBIGUOUS,13.6,0.7,434.0,False,1.0,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0057,2,HIGH_RISK,LOW_CONFIDENCE,16.5,0.68,385.0,False,0.9,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0066,2,HIGH_RISK,BLOCKED_ROUTE,17.7,0.17,244.0,True,5.4,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0068,2,HIGH_RISK,HEAVY_ICE_POOR_VISIBILITY,13.1,0.82,4626.0,False,0.6,hold_position,,UNREVIEWED,,
POLARIS_SCENARIO_0072,2,HIGH_RISK,ESCORT_UNAVAILABLE,14.7,0.83,4151.0,False,6.0,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0075,2,HIGH_RISK,MULTIPLE_HAZARDS,16.3,0.78,385.0,False,0.9,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0076,2,HIGH_RISK,CONFLICTING_AMBIGUOUS,12.6,0.84,281.0,False,1.0,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0077,2,HIGH_RISK,LOW_CONFIDENCE,17.2,0.68,383.0,False,1.0,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0086,2,HIGH_RISK,BLOCKED_ROUTE,15.3,0.07,228.0,True,9.0,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0088,2,HIGH_RISK,HEAVY_ICE_POOR_VISIBILITY,15.6,0.91,4016.0,False,0.6,hold_position,,UNREVIEWED,,
POLARIS_SCENARIO_0092,2,HIGH_RISK,ESCORT_UNAVAILABLE,12.3,0.81,3407.0,False,5.4,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0095,2,HIGH_RISK,MULTIPLE_HAZARDS,17.2,0.78,351.0,False,1.0,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0096,2,HIGH_RISK,CONFLICTING_AMBIGUOUS,16.7,0.82,496.0,False,1.1,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0097,2,HIGH_RISK,LOW_CONFIDENCE,16.0,0.65,304.0,False,0.9,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0106,2,HIGH_RISK,BLOCKED_ROUTE,13.6,0.25,179.0,True,6.9,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0108,2,HIGH_RISK,HEAVY_ICE_POOR_VISIBILITY,14.8,0.89,4618.0,False,0.2,hold_position,,UNREVIEWED,,
POLARIS_SCENARIO_0112,2,HIGH_RISK,ESCORT_UNAVAILABLE,14.2,0.78,3280.0,False,8.2,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0115,2,HIGH_RISK,MULTIPLE_HAZARDS,12.2,0.77,318.0,False,0.7,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0116,2,HIGH_RISK,CONFLICTING_AMBIGUOUS,15.5,0.76,489.0,False,1.0,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0117,2,HIGH_RISK,LOW_CONFIDENCE,17.9,0.81,452.0,False,0.6,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0126,2,HIGH_RISK,BLOCKED_ROUTE,14.0,0.1,196.0,True,7.8,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0128,2,HIGH_RISK,HEAVY_ICE_POOR_VISIBILITY,15.1,0.86,2396.0,False,0.8,hold_position,,UNREVIEWED,,
POLARIS_SCENARIO_0132,2,HIGH_RISK,ESCORT_UNAVAILABLE,13.3,0.9,2018.0,False,7.0,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0135,2,HIGH_RISK,MULTIPLE_HAZARDS,12.1,0.75,314.0,False,0.6,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0136,2,HIGH_RISK,CONFLICTING_AMBIGUOUS,15.1,0.77,491.0,False,0.7,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0137,2,HIGH_RISK,LOW_CONFIDENCE,17.0,0.66,347.0,False,1.0,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0146,2,HIGH_RISK,BLOCKED_ROUTE,13.1,0.07,164.0,True,7.0,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0148,2,HIGH_RISK,HEAVY_ICE_POOR_VISIBILITY,13.9,0.77,3512.0,False,0.4,hold_position,,UNREVIEWED,,
POLARIS_SCENARIO_0152,2,HIGH_RISK,ESCORT_UNAVAILABLE,12.9,0.89,3482.0,False,7.1,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0155,2,HIGH_RISK,MULTIPLE_HAZARDS,15.6,0.8,497.0,False,0.8,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0156,2,HIGH_RISK,CONFLICTING_AMBIGUOUS,13.8,0.8,485.0,False,1.0,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0157,2,HIGH_RISK,LOW_CONFIDENCE,12.4,0.81,301.0,False,1.1,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0166,2,HIGH_RISK,BLOCKED_ROUTE,17.1,0.1,244.0,True,5.2,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0168,2,HIGH_RISK,HEAVY_ICE_POOR_VISIBILITY,14.9,0.94,4944.0,False,0.6,hold_position,,UNREVIEWED,,
POLARIS_SCENARIO_0172,2,HIGH_RISK,ESCORT_UNAVAILABLE,14.8,0.82,3766.0,False,9.8,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0175,2,HIGH_RISK,MULTIPLE_HAZARDS,13.8,0.72,304.0,False,1.2,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0176,2,HIGH_RISK,CONFLICTING_AMBIGUOUS,13.1,0.68,306.0,False,0.7,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0177,2,HIGH_RISK,LOW_CONFIDENCE,12.1,0.75,325.0,False,0.8,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0186,2,HIGH_RISK,BLOCKED_ROUTE,17.3,0.24,203.0,True,8.1,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0188,2,HIGH_RISK,HEAVY_ICE_POOR_VISIBILITY,12.1,0.92,4831.0,False,0.4,hold_position,,UNREVIEWED,,
POLARIS_SCENARIO_0192,2,HIGH_RISK,ESCORT_UNAVAILABLE,13.8,0.81,4919.0,False,6.3,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0195,2,HIGH_RISK,MULTIPLE_HAZARDS,15.2,0.77,421.0,False,1.1,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0196,2,HIGH_RISK,CONFLICTING_AMBIGUOUS,16.5,0.71,381.0,False,0.6,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0197,2,HIGH_RISK,LOW_CONFIDENCE,15.6,0.67,463.0,False,1.2,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0206,2,HIGH_RISK,BLOCKED_ROUTE,17.0,0.15,260.0,True,7.9,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0208,2,HIGH_RISK,HEAVY_ICE_POOR_VISIBILITY,15.4,0.9,3199.0,False,0.5,hold_position,,UNREVIEWED,,
POLARIS_SCENARIO_0212,2,HIGH_RISK,ESCORT_UNAVAILABLE,17.8,0.88,3276.0,False,5.0,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0215,2,HIGH_RISK,MULTIPLE_HAZARDS,15.8,0.82,447.0,False,0.6,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0216,2,HIGH_RISK,CONFLICTING_AMBIGUOUS,15.2,0.79,490.0,False,0.6,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0217,2,HIGH_RISK,LOW_CONFIDENCE,17.3,0.84,391.0,False,0.6,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0226,2,HIGH_RISK,BLOCKED_ROUTE,15.3,0.18,178.0,True,5.5,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0228,2,HIGH_RISK,HEAVY_ICE_POOR_VISIBILITY,15.6,0.93,3182.0,False,0.6,hold_position,,UNREVIEWED,,
POLARIS_SCENARIO_0232,2,HIGH_RISK,ESCORT_UNAVAILABLE,17.7,0.8,4118.0,False,8.0,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0235,2,HIGH_RISK,MULTIPLE_HAZARDS,16.3,0.79,463.0,False,0.6,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0236,2,HIGH_RISK,CONFLICTING_AMBIGUOUS,15.4,0.77,293.0,False,0.8,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0237,2,HIGH_RISK,LOW_CONFIDENCE,14.5,0.84,285.0,False,0.5,slow_down,,UNREVIEWED,,
POLARIS_SCENARIO_0246,2,HIGH_RISK,BLOCKED_ROUTE,17.0,0.06,240.0,True,5.8,reroute,,UNREVIEWED,,
POLARIS_SCENARIO_0248,2,HIGH_RISK,HEAVY_ICE_POOR_VISIBILITY,16.8,0.79,2143.0,False,0.6,hold_position,,UNREVIEWED,,
POLARIS_SCENARIO_0252,2,HIGH_RISK,ESCORT_UNAVAILABLE,17.5,0.9,2253.0,False,7.6,reroute,,UNREVIEWED,,
